,C_Rate,NSOC,Temp,Voltage,OCV
250,0.4,0.6793167895975086,300.396391061328,3.7380531348333794,3.7767669877799985
251,0.4,0.6769031253894601,300.43851145205576,3.7370975547053615,3.775766158168818
252,0.4,0.6744894611814114,300.4805258774701,3.7361582322159235,3.774782230070205
253,0.4,0.6720757969733623,300.52243354436615,3.735234980513289,3.7738150176922707
254,0.4,0.6696621327653131,300.56423509988434,3.734327609502261,3.7728643292294644
255,0.4,0.6672484685572644,300.6059282217845,3.733435917978229,3.7719299670111144
256,0.4,0.6648348043492167,300.6475220599146,3.7325597201968357,3.7710117284423066
257,0.4,0.6624211401411679,300.6890146508118,3.731698804232676,3.770109405243374
258,0.4,0.6600074759331193,300.7304087281025,3.730852962318406,3.769222784504974
259,0.4,0.6575938117250704,300.77170279646424,3.730021973820231,3.7683516484075312
260,0.4,0.6551801475170209,300.8128968558971,3.729205616351777,3.767495774667597
261,0.4,0.6527664833089692,300.8539884013498,3.728403658855373,3.76665493650309
262,0.4,0.6503528191009182,300.8949873107377,3.727615888288474,3.765828903194213
263,0.4,0.6479391548928681,300.9358913877266,3.7268420642999036,3.7650174390140974
264,0.4,0.6455254906848175,300.97670370816223,3.72608195210543,3.7642203039669364
265,0.4,0.6431118264767672,301.0174227647962,3.7253353035102914,3.7634372531393914
266,0.4,0.6406981622687175,301.0580485576286,3.7246018681270807,3.7626680367348078
267,0.4,0.6382844980606668,301.0985784194407,3.72388138572037,3.761912399602926
268,0.4,0.6358708338526158,301.1390221496431,3.7231736127957786,3.761170081313339
269,0.4,0.6334571696445656,301.17937747058266,3.7224782768856386,3.7604408146191495
270,0.4,0.6310435054365153,301.219646412809,3.721795106816248,3.759724325511827
271,0.4,0.6286298412284653,301.25982856043487,3.721123818895518,3.7590203320698814
272,0.4,0.6262161770204155,301.2999236449574,3.7204641208512754,3.7583285435948137
273,0.4,0.6238025128123653,301.3399285808054,3.7198157056665506,3.757648659375003
274,0.4,0.6213888486043146,301.3798528397853,3.7191782775579787,3.7569803678270612
275,0.4,0.618975184396264,301.41969376846646,3.7185515051846147,3.756323343936254
276,0.4,0.6165615201882138,301.45945216426253,3.717935049089076,3.7556772480695466
277,0.4,0.6141478559801637,301.4991281608971,3.7173285514141168,3.7550417235944242
278,0.4,0.611734191772114,301.5387215362636,3.716731634035619,3.7544163944008297
279,0.4,0.6093205275640644,301.5782282209169,3.7161438899447283,3.75380086195962
280,0.4,0.6069068633560137,301.6176571687361,3.715564909875757,3.7531947026037944
281,0.4,0.6044931991479637,301.6570046361055,3.714994231554858,3.7525974627325427
282,0.4,0.6020795349399155,301.69627003090005,3.7144313651216136,3.752008655204744
283,0.4,0.5996658707318685,301.7354530028303,3.7138757823523134,3.7514277542678367
284,0.4,0.5972522065238208,301.774553544658,3.713326911271862,3.7508541900027423
